Computing daily ATM IV...
[2019-01-01] Loading from cache
[2019-01-02] Loading from cache
[2019-01-03] Loading from cache
[2019-01-04] Loading from cache
[2019-01-07] Loading from cache
[2019-01-08] Loading from cache
[2019-01-09] Loading from cache
[2019-01-10] Loading from cache
[2019-01-11] Loading from cache
[2019-01-14] Loading from cache
[2019-01-15] Loading from cache
[2019-01-16] Loading from cache
[2019-01-17] Loading from cache
[2019-01-18] Loading from cache
[2019-01-21] Loading from cache
[2019-01-22] Loading from cache
[2019-01-23] Loading from cache
[2019-01-24] Loading from cache
[2019-01-25] Loading from cache
[2019-01-28] Loading from cache
[2019-01-29] Loading from cache
[2019-01-30] Loading from cache
[2019-01-31] Loading from cache
[2019-02-01] Loading from cache
[2019-02-04] Loading from cache
[2019-02-05] Loading from cache
[2019-02-06] Loading from cache
[2019-02-07] Loading from cache
[2019-02-08] Loading from cache
[2019-02-11] Loading from cache
[2019-02-12] Loading from cache
[2019-02-13] Loading from cache
[2019-02-14] Loading from cache
[2019-02-15] Loading from cache
[2019-02-18] Loading from cache
[2019-02-19] Loading from cache
[2019-02-20] Loading from cache
[2019-02-21] Loading from cache
[2019-02-22] Loading from cache
[2019-02-25] Loading from cache
[2019-02-26] Loading from cache
[2019-02-27] Loading from cache
[2019-02-28] Loading from cache
[2019-03-01] Loading from cache
[2019-03-04] Could not fetch data (might be a holiday)
[2019-03-05] Loading from cache
[2019-03-06] Loading from cache
[2019-03-07] Loading from cache
[2019-03-08] Loading from cache
[2019-03-11] Loading from cache
[2019-03-12] Loading from cache
[2019-03-13] Loading from cache
[2019-03-14] Loading from cache
[2019-03-15] Loading from cache
[2019-03-18] Loading from cache
[2019-03-19] Loading from cache
[2019-03-20] Loading from cache
[2019-03-21] Could not fetch data (might be a holiday)
[2019-03-22] Loading from cache
[2019-03-25] Loading from cache
[2019-03-26] Loading from cache
[2019-03-27] Loading from cache
[2019-03-28] Loading from cache
[2019-03-29] Loading from cache
[2019-04-01] Loading from cache
[2019-04-02] Loading from cache
[2019-04-03] Loading from cache
[2019-04-04] Loading from cache
[2019-04-05] Loading from cache
[2019-04-08] Loading from cache
[2019-04-09] Loading from cache
[2019-04-10] Loading from cache
[2019-04-11] Loading from cache
[2019-04-12] Loading from cache
[2019-04-15] Loading from cache
[2019-04-16] Loading from cache
[2019-04-17] Could not fetch data (might be a holiday)
[2019-04-18] Loading from cache
[2019-04-19] Could not fetch data (might be a holiday)
[2019-04-22] Loading from cache
[2019-04-23] Loading from cache
[2019-04-24] Loading from cache
[2019-04-25] Loading from cache
[2019-04-26] Loading from cache
[2019-04-29] Could not fetch data (might be a holiday)
[2019-04-30] Loading from cache
[2019-05-01] Could not fetch data (might be a holiday)
[2019-05-02] Loading from cache
[2019-05-03] Loading from cache
[2019-05-06] Loading from cache
[2019-05-07] Loading from cache
[2019-05-08] Loading from cache
[2019-05-09] Loading from cache
[2019-05-10] Loading from cache
[2019-05-13] Loading from cache
[2019-05-14] Loading from cache
[2019-05-15] Loading from cache
[2019-05-16] Loading from cache
[2019-05-17] Loading from cache
[2019-05-20] Loading from cache
[2019-05-21] Loading from cache
[2019-05-22] Loading from cache
[2019-05-23] Loading from cache
[2019-05-24] Loading from cache
[2019-05-27] Loading from cache
[2019-05-28] Loading from cache
[2019-05-29] Loading from cache
[2019-05-30] Loading from cache
[2019-05-31] Loading from cache
[2019-06-03] Loading from cache
[2019-06-04] Loading from cache
[2019-06-05] Could not fetch data (might be a holiday)
[2019-06-06] Loading from cache
[2019-06-07] Loading from cache
[2019-06-10] Loading from cache
[2019-06-11] Loading from cache
[2019-06-12] Loading from cache
[2019-06-13] Loading from cache
[2019-06-14] Loading from cache
[2019-06-17] Loading from cache
[2019-06-18] Loading from cache
[2019-06-19] Loading from cache
[2019-06-20] Loading from cache
[2019-06-21] Loading from cache
[2019-06-24] Loading from cache
[2019-06-25] Loading from cache
[2019-06-26] Loading from cache
[2019-06-27] Loading from cache
[2019-06-28] Loading from cache
[2019-07-01] Loading from cache
[2019-07-02] Loading from cache
[2019-07-03] Loading from cache
[2019-07-04] Loading from cache
[2019-07-05] Loading from cache
[2019-07-08] Loading from cache
[2019-07-09] Loading from cache
[2019-07-10] Loading from cache
[2019-07-11] Loading from cache
[2019-07-12] Loading from cache
[2019-07-15] Loading from cache
[2019-07-16] Loading from cache
[2019-07-17] Loading from cache
[2019-07-18] Loading from cache
[2019-07-19] Loading from cache
[2019-07-22] Loading from cache
[2019-07-23] Loading from cache
[2019-07-24] Loading from cache
[2019-07-25] Loading from cache
[2019-07-26] Loading from cache
[2019-07-29] Loading from cache
[2019-07-30] Loading from cache
[2019-07-31] Loading from cache
[2019-08-01] Loading from cache
[2019-08-02] Loading from cache
[2019-08-05] Loading from cache
[2019-08-06] Loading from cache
[2019-08-07] Loading from cache
[2019-08-08] Loading from cache
[2019-08-09] Loading from cache
[2019-08-12] Could not fetch data (might be a holiday)
[2019-08-13] Loading from cache
[2019-08-14] Loading from cache
