date,open,high,low,close,volume
2022-01-03,36621.0,36644.0,35650.3,36582.45,3817425
2022-01-04,36700.0,37023.4,36492.1,36977.35,4079525
2022-01-05,37000.5,37987.95,36850.4,37795.2,5173350
2022-01-06,37410.0,37909.7,37179.1,37629.2,4535975
2022-01-07,37775.0,38250.0,37504.0,37856.95,5211325
2022-01-10,38025.0,38520.0,38000.15,38468.35,3979050
2022-01-11,38477.85,38634.95,38180.0,38548.0,3436400
2022-01-12,38800.0,38957.0,38721.0,38864.7,2878500
2022-01-13,38898.0,38898.0,38502.0,38591.45,2867475
2022-01-14,38349.0,38566.3,38109.95,38491.1,3443725
2022-01-17,38283.0,38714.9,38251.0,38368.2,2358500
2022-01-18,38425.0,38965.65,38149.0,38289.6,4819750
2022-01-19,38178.45,38408.55,37850.0,38156.55,4221025
2022-01-20,38222.25,38264.9,37688.0,37977.85,3930050
2022-01-21,37700.15,37814.45,37276.0,37598.05,4805925
2022-01-24,37599.85,39255.0,36410.05,36966.85,5043850
2022-01-25,36545.0,37808.9,36470.8,37720.5,4772950
2022-01-27,37000.0,38050.0,37000.0,37934.55,3979100
2022-01-28,38469.7,38550.0,37716.65,37824.3,5006075
2022-01-31,38150.0,38296.0,37757.0,38113.75,4321525
2022-02-01,38505.15,38914.95,37767.0,38622.75,8352475
2022-02-02,39888.7,39888.7,38877.75,39437.1,4305275
2022-02-03,39401.05,39540.0,38920.0,39067.35,3902625
2022-02-04,38999.75,39365.0,38655.55,38870.6,4755000
2022-02-07,38625.0,38934.0,37891.0,38101.65,4351350
2022-02-08,38201.05,38275.0,37386.05,38133.1,5568500
2022-02-09,38309.95,38733.65,38250.25,38704.3,3565175
2022-02-10,38890.0,39254.9,38591.95,39054.0,4341525
2022-02-11,38700.05,38826.6,38405.55,38517.5,4372900
2022-02-14,37725.25,37999.0,36807.6,36920.15,5566375
2022-02-15,36990.0,38240.0,36646.9,38187.25,6169900
2022-02-16,38300.0,38475.0,37771.25,37909.55,5693350
2022-02-17,38002.05,38109.0,37413.2,37502.85,5183325
2022-02-18,37350.0,37835.0,37203.55,37591.3,3773900
2022-02-21,37430.0,38059.45,37174.3,37656.9,4829350
2022-02-22,36935.35,37638.8,36906.55,37350.85,4682450
2022-02-23,37600.25,37757.05,37350.1,37432.1,3434450
2022-02-24,36150.0,36761.0,35201.05,35335.45,4639750
2022-02-25,35699.0,36729.75,35699.0,36421.75,5387675
2022-02-28,36076.0,36344.4,35655.2,36261.65,4836375
2022-03-02,35548.0,35655.0,34935.7,35463.4,5998125
2022-03-03,35749.0,35867.8,34811.5,35041.1,5527500
2022-03-04,34666.6,35172.3,34153.5,34455.45,6524775
2022-03-07,33678.0,33678.0,32450.2,32975.4,7117625
2022-03-08,32575.6,33361.55,32251.35,33253.9,7842475
2022-03-09,33300.0,34025.0,33052.1,33888.3,6713775
2022-03-10,35000.0,35424.25,34230.45,34547.2,8773150
2022-03-11,34320.0,34936.0,34153.25,34595.75,5566525
2022-03-14,34615.05,35464.95,34615.05,35319.05,5105550
2022-03-15,35400.0,35675.0,34703.6,35019.85,6303050
2022-03-16,35532.0,35861.05,35506.0,35804.05,4442175
2022-03-17,36340.0,36612.3,36322.15,36432.4,4289600
2022-03-21,36510.0,36599.95,35941.55,36093.25,3878675
2022-03-22,35816.1,36590.0,35475.0,36482.8,5813350
2022-03-23,36820.0,36858.5,36113.3,36205.35,5411375
2022-03-24,35700.0,36056.95,35502.0,35641.2,5574175
2022-03-25,35699.95,35787.95,35259.0,35558.8,4049975
2022-03-28,35575.0,35910.0,35080.05,35848.2,4808350
2022-03-29,36070.0,36070.0,35543.0,35958.95,3861375
2022-03-30,36350.05,36433.2,36084.0,36347.85,3515925
2022-03-31,36899.0,36899.0,36265.2,36377.8,2567750
2022-04-01,36407.0,37250.0,36337.05,37201.65,5419950
2022-04-04,37855.0,38744.35,37565.05,38650.05,7441100
2022-04-05,38750.0,38780.0,38010.0,38139.0,5089600
2022-04-06,37738.0,38036.6,37642.05,37754.35,4616725
2022-04-07,37499.95,38180.0,37400.0,37764.1,5305775
2022-04-08,37731.0,38089.5,37566.65,37985.25,5266300
2022-04-11,37749.8,38096.95,37681.15,37751.35,3839125
2022-04-12,37499.95,38030.0,37400.0,37878.1,4651975
2022-04-13,38000.0,38093.75,37521.6,37576.5,4190400
2022-04-18,36900.3,37084.25,36555.55,36906.35,4086175
2022-04-19,36990.0,37229.35,35970.15,36403.2,5202050
2022-04-20,36399.8,36619.1,36175.55,36422.5,4582925
2022-04-21,36599.9,37050.0,36477.95,36930.25,3742050
2022-04-22,36650.0,36699.95,36031.0,36093.85,4101950
2022-04-25,35750.0,36295.5,35501.05,36150.35,5057075
2022-04-26,36573.2,36628.95,36287.3,36455.15,3729900
2022-04-27,36011.0,36194.25,35761.05,36090.65,3445475
2022-04-28,36190.0,36499.95,35934.25,36398.65,2779150
2022-04-29,36675.0,36770.6,36039.55,36144.25,4936325
