date,open,high,low,close,volume
2026-04-01,51723.0,52937.4,51723.0,52375.8,26280
2026-04-02,52000.0,52533.2,50721.0,52352.2,47850
2026-04-06,52400.2,53495.0,51942.2,53404.8,32160
2026-04-07,53000.2,53443.8,52676.0,53373.8,26250
2026-04-08,54830.0,56500.0,54830.0,56429.0,49740
2026-04-09,56429.0,56429.0,55430.0,55639.2,39060
2026-04-10,55800.0,56649.6,55800.0,56562.2,38460
2026-04-13,55800.0,56410.0,55205.0,56294.0,38310
2026-04-15,57300.0,57499.8,56820.0,56999.8,38940
2026-04-16,57149.8,57434.0,56650.2,56787.6,36840
2026-04-17,56762.6,57330.0,56581.6,57250.0,25920
2026-04-20,57200.0,57698.8,57051.0,57144.2,44070
2026-04-21,57200.0,57963.0,57200.0,57916.6,46050
2026-04-22,57950.0,58028.2,57593.6,57690.4,41880
2026-04-23,57337.6,57390.0,56740.0,56810.2,57480
2026-04-24,56866.6,56927.0,56301.4,56666.0,44730
2026-04-27,56806.0,57001.0,56506.0,56850.2,38370
2026-04-28,56600.0,56700.6,55815.6,55969.6,78960
2026-04-29,56030.0,56700.0,55750.0,55853.4,68370
2026-04-30,55469.8,55519.8,54815.0,55376.8,89370
2026-05-04,55685.0,56080.0,55170.2,55369.2,53250
2026-05-05,55153.8,55331.4,54650.0,55005.0,72300
2026-05-06,55400.0,56615.2,55088.6,56532.4,117840
2026-05-07,56500.0,56764.4,56160.0,56480.4,65400
2026-05-08,56624.6,56624.6,55511.0,55720.0,79110
2026-05-11,55201.0,55388.0,54732.2,54833.0,85650
2026-05-12,54799.4,54799.4,53800.6,53971.0,169950
2026-05-13,53971.0,54486.8,53600.0,53827.0,123060
2026-05-14,54129.0,54722.0,53480.0,54442.4,194700
2026-05-15,54461.0,54678.2,54005.0,54074.8,117720
2026-05-18,53720.0,54006.2,53133.8,53900.2,196500
2026-05-19,54050.0,54152.6,53625.0,53701.4,147480
2026-05-20,53170.0,53990.0,53111.2,53912.6,265230
2026-05-21,54375.0,54387.8,53400.0,53734.0,479970
2026-05-22,53900.0,54551.0,53820.2,54433.4,723720
2026-05-25,54900.0,55805.0,54850.2,55647.2,1096230
2026-05-26,55650.0,55808.0,55347.0,55457.8,1036890
2026-05-27,55457.8,55571.0,55080.0,55207.0,781980
2026-05-29,55299.8,55529.4,54601.0,54760.0,1227540
2026-06-01,54782.0,54971.0,53811.0,53973.0,928230
2026-06-02,53500.0,54404.8,53401.0,54148.0,1104060
2026-06-03,54000.0,54649.8,53287.6,54517.4,1700490
2026-06-04,54270.0,54750.0,54126.0,54616.6,790830
2026-06-05,54660.0,55166.2,54367.4,54799.0,1811550
