date,open,high,low,close,volume
2022-01-03,38525,38750,38200,38380,3084
2022-01-04,38430,38550,38380,38516,1647
2022-01-05,38478,38660,38467,38566,1604
2022-01-06,38480,38480,38201,38218,3883
2022-01-07,38279,38282,38135,38212,2242
2022-01-10,38201,38222,38061,38175,897
2022-01-11,38244,38350,38215,38329,1343
2022-01-12,38378,38430,38290,38402,1905
2022-01-13,38361,38482,38325,38359,1125
2022-01-14,38400,38538,38400,38440,1426
2022-01-17,38470,38516,38423,38489,846
2022-01-18,38488,38547,38405,38498,1196
2022-01-19,38500,38800,38481,38761,2780
2022-01-20,38726,38954,38632,38768,2241
2022-01-21,38705,38799,38506,38573,2264
2022-01-24,38605,38785,38556,38719,1017
2022-01-25,38711,39699,38711,39153,25
2022-01-27,39150,39315,38549,38827,43
2022-01-28,39398,39398,38840,39119,2
2022-01-31,38809,38999,38809,38318,2
2022-02-02,38460,38600,38400,38576,1278
2022-02-03,38596,38596,38300,38470,1324
2022-02-04,38527,38625,38355,38486,1481
2022-02-07,38527,38670,38511,38663,1651
2022-02-08,38697,38788,38625,38778,1291
2022-02-09,38800,38940,38720,38921,1316
2022-02-10,38864,39141,38862,39118,2217
2022-02-11,39063,39290,38910,39188,1714
2022-02-14,39299,39840,39299,39727,2372
2022-02-15,39971,40087,39252,39383,2814
2022-02-16,39420,39578,39302,39556,1721
2022-02-17,39500,39980,39499,39945,2000
2022-02-18,39850,39980,39700,39803,2026
2022-02-21,39879,39880,39666,39747,1792
2022-02-22,39857,40280,39791,40070,556
2022-02-23,40120,40213,39865,40132,89
2022-02-24,40821,41300,40821,41203,21
2022-02-25,41181,41181,40299,40397,67
2022-02-28,40852,41000,40834,40546,12
2022-03-02,41285,41487,40960,41046,5250
2022-03-03,41149,41426,41055,41296,3977
2022-03-04,41400,41910,41375,41782,4966
2022-03-07,42000,42995,42000,42634,7701
2022-03-08,42720,44100,42515,43211,10092
2022-03-09,43548,43870,42068,42198,10536
2022-03-10,42005,43000,41870,42599,7516
2022-03-11,42649,42699,41952,42336,6412
2022-03-14,42300,42300,41800,41913,4387
2022-03-15,41837,41885,41136,41283,6065
2022-03-16,41220,41338,40900,40917,3765
2022-03-17,41388,41450,41060,41225,2558
2022-03-18,41170,41259,41000,41098,1042
2022-03-21,41098,41277,41008,41172,2060
2022-03-22,41199,41401,40931,41056,2200
2022-03-23,41001,41285,40901,41244,1765
2022-03-24,41244,41500,41185,41456,2373
2022-03-25,41256,41497,41001,41319,518
2022-03-28,41377,41840,41135,41412,46
2022-03-29,41382,41524,40861,41129,29
2022-03-30,40900,41648,40900,41424,14
2022-03-31,41238,41799,41150,41219,33
2022-04-04,41149,41228,41000,41118,2222
2022-04-05,41187,41272,40990,41039,2891
2022-04-06,41000,41283,41000,41166,2355
2022-04-07,41130,41358,41130,41334,1700
2022-04-08,41238,41500,41211,41420,2846
2022-04-11,41499,41844,41436,41569,3220
2022-04-12,41635,42039,41635,41976,3324
2022-04-13,41950,42190,41905,42164,2702
2022-04-14,42130,42175,41956,42112,1667
2022-04-18,42195,42610,42146,42391,2528
2022-04-19,42390,42450,41925,41995,2759
2022-04-20,41920,41983,41622,41903,1678
2022-04-21,41900,41938,41573,41735,1934
2022-04-22,41701,41852,41320,41477,2620
2022-04-25,41326,41900,40568,40989,767
2022-04-26,41425,41864,41151,41542,49
2022-04-27,41882,41999,41022,41684,6
2022-04-28,41597,41799,40690,41291,9
2022-04-29,41800,42019,41177,41644,7
2022-05-02,41292,41292,40610,40752,4743
2022-05-03,40749,40955,40652,40846,1843
2022-05-04,40780,40847,40620,40666,3137
2022-05-05,41000,41249,40864,40894,3657
2022-05-06,41240,41240,40805,41169,3138
2022-05-09,41025,41194,40925,40956,1846
2022-05-10,40999,41050,40645,40714,2653
2022-05-11,40745,40799,40200,40770,2073
2022-05-12,40799,40850,40291,40328,2821
2022-05-13,40255,40449,40001,40122,2508
2022-05-16,40249,40321,39951,40284,1896
2022-05-17,40300,40449,40230,40290,1805
2022-05-18,40279,40424,40050,40234,1980
2022-05-19,40280,40565,40155,40468,2124
2022-05-20,40458,40655,40420,40632,2154
2022-05-23,40700,40860,40638,40714,1502
2022-05-24,40799,40869,40612,40785,2662
2022-05-25,40849,40870,40415,40506,597
2022-05-26,40955,41100,40200,40463,66
2022-05-27,41141,41499,41141,41237,8
2022-05-30,40800,41238,40800,40887,25
2022-05-31,41138,41153,40538,40852,4
2022-06-02,40645,40995,40645,40939,2003
2022-06-03,41000,41041,40790,40801,1992
2022-06-06,40850,40988,40730,40754,1276
2022-06-07,40750,40888,40621,40764,2022
2022-06-08,40749,40870,40652,40827,1320
2022-06-09,40837,40889,40684,40806,1937
2022-06-10,40735,41350,40450,41301,4496
2022-06-13,41156,41298,40561,40613,4149
2022-06-14,40613,40613,40244,40275,2521
2022-06-15,40328,40650,40281,40418,2713
2022-06-16,40539,40780,40146,40682,2640
2022-06-17,40649,40798,40552,40615,1681
2022-06-20,40822,40828,40453,40596,1536
2022-06-21,40748,40988,40540,40564,1345
2022-06-22,40495,40700,40415,40600,1521
2022-06-23,40468,40658,40357,40394,3063
