date,open,high,low,close,volume
2026-01-01,122320,123999,122320,123190,9
2026-01-02,123197,123898,123000,123492,32
2026-01-05,123611,125129,123600,124031,69
2026-01-06,123999,124637,123546,124466,65
2026-01-07,123730,124140,123005,123340,121
2026-01-08,123003,123333,122230,123136,51
2026-01-09,123366,123774,123216,123548,83
2026-01-12,124250,124856,123934,124757,249
2026-01-13,124532,125757,124448,125355,153
2026-01-14,125800,126600,125800,126450,332
2026-01-15,126603,126999,125521,126313,173
2026-01-16,126257,126739,126062,126336,230
2026-01-19,127599,130000,126958,129162,961
2026-01-20,129490,136900,128995,136331,1822
2026-01-21,138331,148600,137881,146283,1793
2026-01-22,144166,148900,141001,147421,948
2026-01-23,149899,151799,147596,150797,953
2026-01-27,153310,155320,151938,154216,1473
2026-01-28,158597,158842,155217,158554,1630
2026-01-29,162862,172823,159454,171318,3157
2026-01-30,170583,171500,150760,150760,1937
2026-02-01,146238,146238,137192,137192,391
2026-02-02,133077,135767,124845,128173,1242
2026-02-03,131716,137854,131365,136511,807
2026-02-04,138511,143738,134325,135528,897
2026-02-05,132676,136442,131463,135353,589
2026-02-06,133000,136667,133000,136129,403
2026-02-09,138000,138837,136810,138544,399
2026-02-10,138599,138648,136770,137627,243
2026-02-11,138524,138599,137250,138018,480
2026-02-12,137250,138148,133543,134629,350
2026-02-13,136279,136412,133201,134711,378
2026-02-16,134400,135700,133469,134443,192
2026-02-17,133481,133883,130410,130943,377
2026-02-18,132228,134100,131500,133729,182
2026-02-19,133168,135396,133168,133921,447
2026-02-20,133924,134961,132864,134762,361
2026-02-23,136208,138699,136000,138456,930
2026-02-24,137881,138250,135980,137136,1334
2026-02-25,137901,137901,136312,136981,764
2026-02-26,136850,137235,135100,136517,642
2026-02-27,136805,137754,136527,137494,411
2026-03-02,137914,145138,137914,142869,2217
2026-03-03,141656,141656,134640,139233,1157
2026-03-04,140435,140669,138800,139095,635
2026-03-05,139605,140086,137799,138033,463
2026-03-06,139136,139136,137000,138228,682
2026-03-09,137000,137850,136781,137532,328
2026-03-10,138370,138977,137800,138582,390
2026-03-11,138658,138842,137871,138228,190
2026-03-12,137756,138643,137473,137775,334
2026-03-13,137405,137668,135259,136046,568
2026-03-16,135277,135383,133005,133436,673
2026-03-17,135008,135008,133029,133536,341
2026-03-18,133100,133498,130556,131652,652
2026-03-19,130824,130987,119804,123267,2910
2026-03-20,125890,126884,122671,123801,1370
2026-03-23,120087,121299,111240,118815,3132
2026-03-24,115253,119266,115253,118326,1124
2026-03-25,121406,122400,120710,121265,1586
2026-03-26,120265,120265,117557,117675,867
2026-03-27,118668,121687,118204,120176,1460
2026-03-30,120699,121999,118901,120408,1319
2026-03-31,121987,123733,121141,123455,1394
2026-04-01,124525,125929,123639,125588,2672
2026-04-02,123644,124303,120200,122034,2944
2026-04-06,121493,123150,120868,122191,2024
2026-04-07,121927,122700,121346,122267,1528
2026-04-08,123668,125879,123668,124479,2989
2026-04-09,124089,125064,123562,124936,1353
2026-04-10,124639,125027,124060,124582,1075
2026-04-13,123188,124124,121525,123948,1320
2026-04-14,125799,125800,124103,125609,1131
2026-04-15,125561,125950,125120,125479,1554
2026-04-16,125943,125972,124772,124902,1296
2026-04-17,125005,126340,124457,125822,2319
2026-04-20,123349,125820,123348,125438,1508
2026-04-21,124900,125510,124025,124367,1263
2026-04-22,125197,125245,123553,124533,1728
2026-04-23,124112,124707,123800,124095,1231
2026-04-24,123674,124696,123452,124357,1471
2026-04-27,124284,125500,123450,123607,2371
2026-04-28,123628,123689,121022,122384,3297
2026-04-29,122096,122600,121023,121591,2575
2026-04-30,121845,123439,121455,122886,3110
2026-05-01,122270,123719,122130,123165,2131
2026-05-04,122698,123330,121896,122193,3911
2026-05-05,122805,122805,121929,122270,1985
2026-05-06,123502,124200,123258,123812,4469
2026-05-07,124090,124778,123850,124053,3704
2026-05-08,124136,124731,123512,124274,2761
2026-05-11,124133,125000,123412,124636,4565
2026-05-12,124568,125097,124168,124677,4221
2026-05-13,125514,132350,125514,132074,13713
2026-05-14,132041,132446,131326,131642,4138
2026-05-15,130402,130850,128800,129118,5856
2026-05-18,128715,129990,128217,129369,4686
2026-05-19,129048,129749,128350,128552,4719
2026-05-20,128197,129292,127792,129120,5050
2026-05-21,129285,129375,128320,129014,3101
2026-05-22,128620,129100,128302,128556,2689
2026-05-25,129060,129300,128485,128956,4805
2026-05-26,128705,128887,127500,127639,9704
2026-05-27,127986,127988,125800,126478,12888
2026-05-28,125808,127406,124916,127275,9606
2026-05-29,126951,127700,126550,127280,13538
2026-06-01,126630,126902,125863,126334,9413
2026-06-02,126709,127269,126221,126527,7586
2026-06-03,126202,126710,125701,126011,7418
2026-06-04,126311,127151,126125,126607,6846
2026-06-05,126049,126100,125447,125800,3611
