date,open,high,low,close,volume
2026-04-01,23280.0,23313.8,23017.2,23077.3,258570
2026-04-02,22759.7,23106.9,22546.0,23051.2,386815
2026-04-06,23055.3,23373.8,22920.0,23347.4,388700
2026-04-07,23217.0,23475.4,23105.4,23452.2,353080
2026-04-08,24117.1,24374.0,24098.4,24332.4,295425
2026-04-09,24290.0,24323.7,24050.1,24152.7,213135
2026-04-10,24185.9,24385.0,24185.9,24370.2,216645
2026-04-13,24001.1,24225.0,23900.0,24152.9,229320
2026-04-15,24306.6,24599.2,24306.6,24522.3,176865
2026-04-16,24599.9,24663.0,24405.1,24487.4,200460
2026-04-17,24487.4,24666.6,24387.4,24653.0,187395
2026-04-20,24717.0,24749.6,24551.0,24606.7,245505
2026-04-21,24639.9,24850.0,24639.8,24840.1,322140
2026-04-22,24729.2,24800.0,24605.0,24653.6,249275
2026-04-23,24555.0,24555.0,24391.1,24410.6,283985
2026-04-24,24415.8,24483.0,24081.0,24151.5,469690
2026-04-27,24252.7,24350.6,24211.0,24328.8,432315
2026-04-28,24300.0,24382.2,24171.1,24201.5,344045
2026-04-29,24237.4,24564.9,24237.4,24379.5,427635
2026-04-30,24224.9,24259.9,23982.0,24210.6,452725
2026-05-04,24320.0,24477.7,24185.0,24312.8,412295
2026-05-05,24300.0,24300.0,24050.0,24215.1,388960
2026-05-06,24358.9,24566.3,24170.0,24544.9,591175
2026-05-07,24550.1,24630.0,24425.0,24491.7,355550
2026-05-08,24411.1,24411.1,24273.0,24339.2,296140
2026-05-11,24200.0,24200.0,23959.0,23974.6,580060
2026-05-12,23925.4,23925.6,23500.0,23528.4,852215
2026-05-13,23528.0,23726.4,23406.8,23571.9,938925
2026-05-14,23625.0,23880.0,23535.0,23793.8,687570
2026-05-15,23799.8,23935.0,23690.1,23739.8,972010
2026-05-18,23635.0,23787.9,23440.0,23740.1,853255
2026-05-19,23790.0,23850.0,23669.0,23701.2,651820
2026-05-20,23545.0,23784.0,23472.0,23755.6,929955
2026-05-21,23899.0,23922.0,23640.2,23726.8,2625025
2026-05-22,23783.5,23910.0,23760.0,23801.4,4035460
2026-05-25,23989.0,24160.0,23980.0,24106.4,4175470
2026-05-26,24105.0,24145.0,23950.0,23978.9,5663710
2026-05-27,23970.0,24045.0,23900.0,23996.7,2889965
2026-05-29,23994.0,24065.1,23711.1,23748.8,8726185
2026-06-01,23740.0,23779.0,23436.0,23462.0,4876365
2026-06-02,23299.0,23650.0,23286.0,23603.1,5756205
2026-06-03,23500.0,23580.0,23212.0,23515.7,8486920
2026-06-04,23352.0,23543.8,23326.0,23511.6,4290390
2026-06-05,23560.0,23590.0,23350.0,23440.0,5054205
