date,open,high,low,close,volume
2026-04-06 12:25:00,241508,241620,241500,241566,4
2026-04-06 12:30:00,241566,241660,241053,241128,50
2026-04-06 12:35:00,241128,241210,240962,240990,23
2026-04-06 12:40:00,240990,240990,240700,240800,55
2026-04-06 12:45:00,240800,241086,240450,240752,74
2026-04-06 12:50:00,240752,240752,240230,240230,93
2026-04-06 12:55:00,240230,240611,240210,240453,58
2026-04-06 13:00:00,240453,240750,240256,240750,33
2026-04-06 13:05:00,240750,241184,240708,240800,38
2026-04-06 13:10:00,240800,241299,240800,241117,120
2026-04-06 13:15:00,241117,241530,241089,241530,101
2026-04-06 13:20:00,241530,242000,241446,241650,224
2026-04-06 13:25:00,241650,241950,241584,241623,90
2026-04-06 13:30:00,241623,242460,241500,242367,224
2026-04-06 13:35:00,242367,242476,241800,241948,105
2026-04-06 13:40:00,241914,242309,241914,242195,67
2026-04-06 13:45:00,242195,242313,241700,241792,92
2026-04-06 13:50:00,241792,242378,241792,242378,60
2026-04-06 13:55:00,242378,242660,242150,242439,126
2026-04-06 14:00:00,242439,242800,242218,242700,80
2026-04-06 14:05:00,242700,242900,242381,242533,161
2026-04-06 14:10:00,242533,242990,242422,242742,99
2026-04-06 14:15:00,242742,243475,242742,243346,343
2026-04-06 14:20:00,243387,243448,242732,242995,136
2026-04-06 14:25:00,242995,243300,242904,243183,138
2026-04-06 14:30:00,243183,244400,243179,244204,320
2026-04-06 14:35:00,244228,244400,243901,244062,195
2026-04-06 14:40:00,244062,244429,244038,244308,167
2026-04-06 14:45:00,244381,244776,244200,244247,202
2026-04-06 14:50:00,244247,244620,244041,244368,152
2026-04-06 14:55:00,244368,244368,243917,244350,73
2026-04-06 15:00:00,244350,244808,244350,244600,158
2026-04-06 15:05:00,244600,244695,244246,244259,77
2026-04-06 15:10:00,244259,244506,244139,244464,83
2026-04-06 15:15:00,244464,244490,243750,243762,108
2026-04-06 15:20:00,243762,243883,243135,243200,260
2026-04-06 15:25:00,243200,243455,242855,243021,179
2026-04-06 15:30:00,243021,243797,243021,243797,136
2026-04-06 15:35:00,243799,243799,243338,243634,59
2026-04-06 15:40:00,243517,243733,243250,243305,62
2026-04-06 15:45:00,243356,243416,243244,243259,53
