date,open,high,low,close,volume
2022-01-03,62836,62888,61800,62016,162794
2022-01-04,61925,62620,61803,62484,135946
2022-01-05,62484,62800,62100,62506,117272
2022-01-06,62435,62435,60530,60735,210351
2022-01-07,60798,60999,60325,60892,135034
2022-01-10,60963,61033,60570,60960,102456
2022-01-11,61020,61444,60932,61384,105010
2022-01-12,61399,62139,61267,62103,134164
2022-01-13,62001,62500,62001,62182,108249
2022-01-14,62101,62620,61801,61887,133583
2022-01-17,61990,62310,61900,62170,57955
2022-01-18,62222,63650,61950,63260,208986
2022-01-19,63200,64716,63200,64598,164678
2022-01-20,64501,65650,64300,65548,160334
2022-01-21,65436,65539,64810,64992,138457
2022-01-24,64901,65169,63777,64157,144922
2022-01-25,64100,64552,63900,64271,100261
2022-01-27,64101,64101,62055,62209,205336
2022-01-28,62380,62520,61072,61311,167173
2022-01-31,61450,61843,61175,61316,106343
2022-02-01,61450,62475,61220,61676,156893
2022-02-02,61636,62080,61300,61810,119417
2022-02-03,61690,61722,60310,61060,165020
2022-02-04,61220,61599,60580,61170,169701
2022-02-07,61277,62350,61277,62288,124977
2022-02-08,62190,62712,61820,62609,118764
2022-02-09,62720,62990,62527,62900,99939
2022-02-10,62780,63767,62717,63458,152776
2022-02-11,63290,63290,62282,63175,142855
2022-02-14,63250,64693,63250,64400,140459
2022-02-15,64596,64782,62758,63176,139684
2022-02-16,63000,63624,62970,63455,88917
2022-02-17,63260,64170,63117,63998,112040
2022-02-18,63851,64337,63533,64016,105802
2022-02-21,64050,64050,63419,63727,73003
2022-02-22,63998,64723,63998,64574,27376
2022-02-23,64361,65213,64112,64967,2153
2022-02-24,65905,68860,65871,66434,1780
2022-02-25,65595,66999,64229,64411,418
2022-02-28,65499,65962,64500,65864,148
2022-03-02,68022,68395,67485,67836,186169
2022-03-03,67980,68878,67851,68061,167908
2022-03-04,68149,69441,68149,69257,171476
2022-03-07,69400,71320,69400,70069,268267
2022-03-08,70140,72869,69900,71418,341759
2022-03-09,72190,73057,69426,69692,285588
2022-03-10,69516,70800,69000,70500,230702
2022-03-11,70220,70695,69350,70412,198758
2022-03-14,70200,70395,68632,68993,193881
2022-03-15,68940,68940,67802,68466,199669
2022-03-16,68601,68601,67327,67517,156081
2022-03-17,67577,69149,67577,68625,164704
2022-03-18,68749,68750,67869,68079,87492
2022-03-21,68155,68750,68100,68519,127296
2022-03-22,68550,69195,67351,67865,175601
2022-03-23,67865,68550,67624,68403,136376
2022-03-24,68425,69744,68253,69401,175450
2022-03-25,69555,69585,68705,68979,120220
2022-03-28,68835,68835,68011,68292,122758
2022-03-29,68230,68230,65600,67127,234277
2022-03-30,67250,67950,67203,67608,125948
2022-03-31,67482,68040,66755,67662,139139
2022-04-01,67468,67598,66770,66971,141821
2022-04-04,66985,67280,66210,66530,153193
2022-04-05,66512,67300,66272,66444,160997
2022-04-06,66488,66848,66116,66534,131637
2022-04-07,66660,66984,66383,66941,119622
2022-04-08,66934,67240,66605,67152,122242
2022-04-11,67055,68538,67055,67490,159334
2022-04-12,67595,69040,67595,68865,161335
2022-04-13,68840,69599,68420,69493,107388
2022-04-14,69275,69469,68622,69095,80068
2022-04-18,69161,70730,69161,70053,116845
2022-04-19,69965,70439,68650,68865,151385
2022-04-20,68556,68734,68122,68502,93356
2022-04-21,68300,68399,67086,67322,107203
2022-04-22,67322,67473,66400,66717,84849
2022-04-25,66700,66700,64905,65279,21752
2022-04-26,65760,65900,65143,65240,1491
2022-04-27,65175,65399,64651,64844,514
2022-04-28,64414,64499,63872,64169,150
2022-04-29,64300,65202,63890,64635,60
2022-05-02,64504,64504,62390,63296,191083
2022-05-03,63400,63835,62852,63393,97377
2022-05-04,63396,63396,62310,62487,121462
2022-05-05,62697,64555,62519,62703,215185
2022-05-06,62656,63325,62411,62908,131391
2022-05-09,62800,63100,61565,61877,181133
2022-05-10,61990,62330,60765,60962,184059
2022-05-11,60700,61866,60555,61106,187920
2022-05-12,61050,61050,59009,59125,206071
2022-05-13,59400,59800,58560,59669,182243
2022-05-16,59728,61325,59652,61247,167794
2022-05-17,61324,61850,61122,61483,133010
2022-05-18,61295,61630,60828,61123,136573
2022-05-19,61012,62022,60525,61846,176482
2022-05-20,61686,62285,61495,61728,130140
2022-05-23,61770,62560,61451,61643,158154
2022-05-24,61615,62500,61400,62283,151022
2022-05-25,62100,62397,61565,61860,118740
2022-05-26,61870,62280,61571,62086,113106
2022-05-27,62175,63098,62175,62424,157501
2022-05-30,62480,62866,62036,62202,102419
2022-05-31,62200,62200,61101,61468,165175
2022-06-01,61412,61993,60827,61882,163317
2022-06-02,61715,62668,61646,62599,153604
2022-06-03,62660,63150,61882,61973,179363
2022-06-06,62093,63240,62093,62575,177618
2022-06-07,62535,62590,61850,62504,144800
2022-06-08,62411,62645,61770,62305,160579
2022-06-09,62350,62494,61268,61673,157049
2022-06-10,61594,62300,60589,62186,231868
2022-06-13,62040,62040,60103,60617,216130
2022-06-14,60565,60747,59750,59884,158977
2022-06-15,59990,61440,59990,61009,182289
2022-06-16,61189,61894,60620,61789,200662
2022-06-17,61806,61984,61220,61287,130529
2022-06-20,61529,61580,61032,61111,98947
2022-06-21,61229,61944,60913,61599,129931
2022-06-22,61508,61508,60507,60997,123721
2022-06-23,60928,60980,59616,59870,145813
2022-06-24,59500,60341,59110,60048,50794
2022-06-27,60544,61300,60310,60495,2347
2022-06-28,60510,61226,59900,60059,1082
2022-06-29,60091,60264,59379,59542,52
2022-06-30,59664,59800,58857,59606,24
2022-07-04,58702,58999,58527,58865,80120
2022-07-05,59000,59348,57230,57370,212545
2022-07-06,57500,57818,56603,57214,222514
2022-07-07,57400,57877,57205,57432,147411
2022-07-08,57355,57813,56941,57582,158397
2022-07-11,57425,57723,57332,57401,102790
2022-07-12,57370,57380,56539,56951,161818
2022-07-13,56905,57798,56780,57574,166633
2022-07-14,57402,57435,55402,55708,263305
2022-07-15,55831,56347,55155,56154,197390
2022-07-18,56243,56853,56243,56601,128234
2022-07-19,56502,56539,56033,56317,94818
2022-07-20,56402,56790,56150,56264,123354
2022-07-21,56202,56202,55021,56087,236522
2022-07-22,55925,56418,55858,55912,138274
2022-07-25,55830,55897,55050,55268,138953
2022-07-26,55402,55599,55150,55490,112842
2022-07-27,55410,55847,55150,55591,133945
2022-07-28,55750,58244,55750,58156,291360
2022-07-29,58300,58840,58021,58782,186972
2022-08-01,58566,59230,58374,58838,150935
2022-08-02,58780,58920,58152,58275,186716
2022-08-03,58190,58498,57856,58180,151295
2022-08-04,58300,58977,58180,58559,184756
2022-08-05,58627,58819,57375,58009,204631
2022-08-08,57956,59647,57876,59518,208709
2022-08-09,59598,59800,59160,59327,95938
2022-08-10,59250,59799,58965,59452,153018
2022-08-11,59380,59600,58837,59016,148830
2022-08-12,59130,59832,58902,59713,142252
2022-08-16,59550,59550,57961,58274,153425
2022-08-17,58300,58565,57466,57627,134097
2022-08-18,57480,57900,57138,57211,133301
2022-08-19,57100,57100,56060,56265,134432
