date,open,high,low,close,volume
2025-10-01,149912,152645,148600,150569,1226
2025-10-03,148812,152708,148074,151750,2576
2025-10-06,152587,153978,151911,153623,2786
2025-10-07,153498,154010,151113,152204,3173
2025-10-08,152703,155989,152703,155807,5721
2025-10-09,154201,159378,152100,153525,13450
2025-10-10,153285,155093,151064,152223,7773
2025-10-13,155000,157799,153825,157590,7888
2025-10-14,158311,165736,158107,163541,10353
2025-10-15,164223,166515,163300,166172,6339
2025-10-16,167705,175080,167105,174660,11919
2025-10-17,176140,179550,162290,164540,13603
2025-10-20,165999,167985,158659,164863,5839
2025-10-21,160753,160753,158278,158845,1184
2025-10-22,158269,158269,149315,151181,2746
2025-10-23,152799,155166,150787,154351,2880
2025-10-24,153602,154400,151538,153263,1713
2025-10-27,152167,152879,148001,149486,3615
2025-10-28,149511,151006,145311,149906,3035
2025-10-29,150693,153355,150348,151923,2576
2025-10-30,150404,154500,150209,154332,3137
2025-10-31,153711,155949,153711,154324,2827
2025-11-03,153700,155685,153700,154334,1939
2025-11-04,153000,153922,151146,152452,2438
2025-11-05,153335,153925,152453,153678,1178
2025-11-06,153667,155196,153001,153665,1893
2025-11-07,154000,155440,153972,154497,2556
2025-11-10,155999,161274,155000,160777,4524
2025-11-11,162384,163771,161110,162665,4519
2025-11-12,163211,170862,162647,169562,8331
2025-11-13,170864,173950,169301,170866,8767
2025-11-14,171693,172176,162382,164968,7157
2025-11-17,164591,165404,161801,163693,4047
2025-11-18,161601,163383,160001,163158,4884
2025-11-19,163787,167300,162274,163891,6973
2025-11-20,164526,165308,162300,163188,4647
2025-11-21,161512,164400,160000,163447,7511
2025-11-24,162682,164165,162001,163925,4111
2025-11-25,164499,169984,164200,165771,7651
2025-11-26,166649,170359,166649,170083,10048
2025-11-27,169921,172549,168570,171237,11181
2025-11-28,171999,180189,171999,179418,24337
2025-12-01,183199,189305,181212,187540,29590
2025-12-02,185145,188800,183652,187482,20472
2025-12-03,188953,190850,187615,188838,19690
2025-12-04,188545,189518,183690,184843,16023
2025-12-05,185999,191226,185651,189561,20313
2025-12-08,188133,189944,187468,188388,10122
2025-12-09,189299,194686,186951,194159,23753
2025-12-10,194980,198250,194175,195555,23578
2025-12-11,198043,205832,198043,205392,34162
2025-12-12,203763,209194,197628,201060,38798
2025-12-15,204919,207500,202378,206048,20307
2025-12-16,204523,207525,203023,206129,15709
2025-12-17,207200,215500,207200,215096,27843
2025-12-18,214009,215406,210082,212307,20865
2025-12-19,211637,216500,211196,216323,18936
2025-12-22,217100,222975,217100,222177,22306
2025-12-23,223008,231064,223008,229223,33269
2025-12-24,230851,234400,229137,233857,32607
2025-12-26,234549,252500,234549,250606,47257
2025-12-29,253505,265642,230000,234842,59326
2025-12-30,241292,263023,241292,262955,34697
2025-12-31,254500,254680,243159,249551,23229
2026-01-01,249149,252708,247651,249876,3996
2026-01-02,254069,260901,251110,253166,24087
2026-01-05,263185,268355,256110,261256,24290
2026-01-06,262579,273807,261730,273467,34924
2026-01-07,273554,274744,262529,267677,27812
2026-01-08,268482,268824,251617,260613,27373
2026-01-09,263905,272454,260350,268913,25780
2026-01-12,276000,286199,275500,284377,34061
2026-01-13,285923,294750,281024,290398,40333
2026-01-14,295555,306696,294381,304024,44230
2026-01-15,303364,308340,292699,307453,28908
2026-01-16,305498,309219,296011,305100,28062
2026-01-19,309000,328766,309000,327822,39494
2026-01-20,325406,352071,323440,347139,55924
2026-01-21,349184,366207,340500,345166,45915
2026-01-22,349885,362000,324457,358487,40105
2026-01-23,361999,370888,359476,366047,27765
2026-01-27,380688,398000,380688,394127,39708
2026-01-28,405902,429000,405902,426186,35855
2026-01-29,428480,464542,395648,452457,51336
2026-01-30,440100,443742,330294,342603,47560
2026-02-01,328899,328899,311769,311769,574
2026-02-02,299299,299299,236945,253748,31649
2026-02-03,260164,299422,260164,292578,11420
2026-02-04,300111,317895,289005,293790,15026
2026-02-05,282039,282039,258307,265240,12452
2026-02-06,254631,271991,249326,270699,9078
2026-02-09,275000,286940,273682,283963,7296
2026-02-10,281704,285000,272484,274960,4806
2026-02-11,280999,288984,278649,283530,9595
2026-02-12,282002,283269,257000,258383,6098
2026-02-13,261057,269534,259110,264339,8780
2026-02-16,256790,260191,253766,257373,4634
2026-02-17,253956,255722,242628,243804,10496
2026-02-18,247534,261495,247148,260669,6576
2026-02-19,261807,266194,256553,258864,11633
2026-02-20,260822,272500,259500,271359,11321
2026-02-23,282213,290312,280930,286822,12979
2026-02-24,286859,288900,275901,284133,17403
2026-02-25,286571,292000,286000,290018,15553
2026-02-26,286691,287881,275647,280496,18396
2026-02-27,284897,295600,284897,294088,18143
2026-03-02,300591,311956,291112,295069,38552
2026-03-03,291000,291000,274501,281109,29078
2026-03-04,284306,290787,279502,281037,32487
2026-03-05,284199,288987,273704,277664,20448
2026-03-06,280000,284513,275509,282535,17473
2026-03-09,280264,281620,274000,280137,13818
2026-03-10,290137,291342,286151,289226,14124
2026-03-11,287052,288485,278010,281782,13294
2026-03-12,280110,287251,278280,281349,13485
2026-03-13,280158,282476,268197,272971,23971
2026-03-16,266999,272092,259630,268839,23856
2026-03-17,270350,275368,263001,265710,18823
2026-03-18,264465,267283,255524,260562,24448
2026-03-19,257903,258172,225950,242724,51792
2026-03-20,244958,252397,234366,237904,37751
2026-03-23,233151,240000,209731,235914,90761
2026-03-24,230788,236992,223308,233562,45214
2026-03-25,242904,246292,242299,244230,20136
2026-03-26,238600,238600,228806,229848,18473
2026-03-27,232743,243095,230556,237538,30373
2026-03-30,240897,242914,234856,238266,21520
2026-03-31,240696,250014,240696,249230,18498
2026-04-01,248971,252697,247200,252200,22207
2026-04-02,247016,247016,234334,241606,35716
2026-04-06,240242,244808,238534,241972,18514
2026-04-07,240930,243980,233634,239683,27551
2026-04-08,244552,254988,244552,248575,30936
2026-04-09,246453,252111,244051,251798,21571
2026-04-10,249608,252936,248051,251157,19911
2026-04-13,249655,249820,244931,248691,21529
2026-04-14,250999,259950,250990,259530,26032
2026-04-15,260363,262187,256112,258668,37181
2026-04-16,259841,262500,256000,256267,31671
2026-04-17,257442,268700,255501,264500,53998
2026-04-20,263701,263701,258500,260045,33704
2026-04-21,259401,259700,250725,252748,50337
2026-04-22,255366,258300,254808,256295,39251
2026-04-23,254551,254821,247606,249535,101413
2026-04-24,247989,253416,246256,253025,137164
2026-04-27,251297,254110,249500,251095,72945
2026-04-28,250311,250635,243558,246829,121602
2026-04-29,247744,248558,241425,242800,86275
2026-04-30,243799,249200,242689,248252,94231
2026-05-01,248489,257150,247400,253956,95112
2026-05-04,253487,256500,245050,247675,140084
2026-05-05,247664,250789,246500,248109,88913
2026-05-06,249200,258240,249200,256291,147275
2026-05-07,258299,267724,257700,261226,201126
2026-05-08,261839,266900,261100,264292,135180
2026-05-11,264500,280149,263250,279698,227365
2026-05-12,280800,284480,275271,280560,223339
2026-05-13,282850,306831,282850,302157,195746
2026-05-14,300630,301170,287171,293483,159467
2026-05-15,289600,289600,271555,274831,220121
2026-05-18,273021,283222,267501,279617,171036
2026-05-19,278962,279944,269181,273355,136232
2026-05-20,271778,279200,270005,277641,135828
2026-05-21,277489,279888,273001,278594,113812
2026-05-22,277489,279213,274250,276039,89122
2026-05-25,278000,281200,278000,280371,68456
2026-05-26,278001,278530,273850,274871,80621
2026-05-27,276240,277686,268051,270719,116325
2026-05-28,268524,274185,265384,273840,83421
2026-05-29,273489,273950,268735,271618,91913
2026-06-01,272387,272980,267003,270533,88896
2026-06-02,270885,275600,268801,271285,92427
2026-06-03,271007,271999,267070,267739,80232
2026-06-04,268399,272172,266450,269439,90109
2026-06-05,267151,267151,262000,264620,53475
